"sk_legislatura","version","date_from","date_to","idDeputado","idLegislaturaFinal","idLegislaturaInicial","dt_inicio","anoEleicao","dt_fim","dt_inicio_real"
116,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","259",2,2,,,,
117,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","302",3,3,,,,
118,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","315",3,3,,,,
119,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","339",3,2,,,,
120,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","316",3,3,,,,
121,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","341",3,3,,,,
122,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","154",3,1,,,,
123,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","330",3,3,,,,
124,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","112",3,1,,,,
125,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","289",3,3,,,,
126,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","263",3,2,,,,
127,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","308",3,3,,,,
128,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","261",3,2,,,,
129,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","126",3,1,,,,
130,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","290",3,3,,,,
131,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","299",3,3,,,,
132,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","291",3,3,,,,
133,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","301",3,3,,,,
134,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","201",3,2,,,,
135,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","224",3,2,,,,
136,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","317",3,3,,,,
137,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","318",3,3,,,,
138,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","232",3,1,,,,
139,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","49",3,1,,,,
140,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","284",3,3,,,,
141,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","234",3,2,,,,
142,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","233",3,1,,,,
143,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","207",3,1,,,,
144,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","292",3,3,,,,
145,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","345",3,3,,,,
146,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","249",3,2,,,,
147,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","293",3,3,,,,
148,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","159",3,1,,,,
149,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","297",3,3,,,,
150,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","223",3,2,,,,
151,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","235",3,2,,,,
152,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","270",3,2,,,,
153,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","160",3,1,,,,
154,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","285",3,3,,,,
155,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","306",3,3,,,,
156,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","343",3,3,,,,
157,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","237",3,2,,,,
158,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","143",3,1,,,,
159,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","286",3,3,,,,
160,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","151",3,1,,,,
161,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","334",3,3,,,,
162,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","53",3,1,,,,
163,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","211",3,2,,,,
164,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","212",3,2,,,,
165,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","327",3,3,,,,
166,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","272",3,2,,,,
167,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","217",3,2,,,,
168,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","303",3,3,,,,
169,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","287",3,3,,,,
170,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","288",3,3,,,,
